Movie release date,Number of movies,Ngrams and score
1923,189,"[['gang' 1.3098592171169328]
 ['jean' 0.8747400039469184]
 ['marie' 0.8743068280473667]
 ['harold' 0.7407559803723287]
 ['young' 0.70872640282475]
 ['school' 0.5930939093091432]
 ['love' 0.5781775297702207]
 ['film' 0.5580069558151904]
 ['finally' 0.5064349978384084]
 ['rosita' 0.4763689788613725]]"
1924,208,"[['john' 1.4875965431838352]
 ['mary' 1.1478904704004187]
 ['new' 0.9175905305821652]
 ['paul' 0.9070375241344449]
 ['man' 0.8860982678747782]
 ['husband' 0.8604125051049369]
 ['gang' 0.8056628229828626]
 ['love' 0.7434256284352203]
 ['jack' 0.7322622717212794]
 ['life' 0.7022560736773868]]"
1925,201,"[['love' 1.2066695560451501]
 ['father' 0.9400637947339089]
 ['man' 0.888210293746854]
 ['husband' 0.8847279185314136]
 ['mother' 0.8101283938579499]
 ['film' 0.7997974979560986]
 ['boy' 0.758890964716365]
 ['girl' 0.7531434214804636]
 ['takes' 0.7513940153129616]
 ['wife' 0.7468434061230971]]"
1926,200,"[['mary' 0.8565918255902486]
 ['joe' 0.6643308925914753]
 ['tom' 0.638717578099838]
 ['town' 0.6261103991392706]
 ['girl' 0.6193516612584258]
 ['trying' 0.6141759832706333]
 ['woman' 0.5876082244469584]
 ['wife' 0.5761491047846988]
 ['man' 0.5622116312343413]
 ['johnnie' 0.5543161164402494]]"
1927,211,"[['stan' 1.1623583910897215]
 ['film' 1.0673269078088925]
 ['harry' 0.960348877211137]
 ['gang' 0.9124625230792925]
 ['woman' 0.8936979339894725]
 ['krazy' 0.8281099666777716]
 ['men' 0.8007469154467224]
 ['oswald' 0.7900277255774857]
 ['father' 0.7545323379719903]
 ['house' 0.7414732801901398]]"
1928,219,"[['stan' 1.5948375663272396]
 ['love' 1.2579353063189507]
 ['ollie' 1.210749241928215]
 ['father' 1.162755462818339]
 ['girl' 1.0608288015318026]
 ['film' 1.0293643699738482]
 ['wife' 1.0191712684206822]
 ['mickey' 1.013837386501242]
 ['man' 0.939340709681683]
 ['karl' 0.8828547906373134]]"
1929,229,"[['oswald' 2.1310680923175642]
 ['mickey' 1.7426706082553782]
 ['man' 1.4611839452100326]
 ['krazy' 1.3226673663498199]
 ['young' 1.2733678521175742]
 ['ollie' 1.2592403144300777]
 ['love' 1.1653623881798665]
 ['stan' 1.0705520137338864]
 ['film' 1.032249739911898]
 ['steve' 1.006947862434796]]"
1930,233,"[['oswald' 1.6881765666179358]
 ['love' 1.5637325148931804]
 ['gang' 1.4786417211275116]
 ['film' 1.3256295174277488]
 ['wife' 1.325066333748759]
 ['stan' 1.2506746911018896]
 ['girl' 1.1592640451241762]
 ['mary' 1.155349130043638]
 ['falls' 1.0993597402408042]
 ['jackie' 1.0802024383018425]]"
1931,278,"[['bimbo' 2.5425585273830085]
 ['betty' 2.378096808791186]
 ['father' 1.7606674691416133]
 ['ollie' 1.4188724652921667]
 ['man' 1.3983247922755964]
 ['woman' 1.391065501264146]
 ['tells' 1.3878659044183934]
 ['love' 1.3387773125386446]
 ['krazy' 1.2659875712515047]
 ['wheezer' 1.1882320284448882]]"
1932,267,"[['betty' 2.722290070578952]
 ['man' 1.715821403354087]
 ['krazy' 1.6616095874272832]
 ['film' 1.4371489848237204]
 ['money' 1.3709522534613725]
 ['wife' 1.325178772972027]
 ['tells' 1.3191282469032273]
 ['father' 1.3161152000499576]
 ['love' 1.2526224404061923]
 ['bimbo' 1.2448610317015412]]"
1933,265,"[['betty' 3.5544546829925134]
 ['man' 2.0045434340496113]
 ['oswald' 1.8247257367994494]
 ['new' 1.3504501992328675]
 ['gang' 1.3261140708632417]
 ['mickey' 1.2618272559378292]
 ['love' 1.2457479034147088]
 ['film' 1.2356765350203445]
 ['father' 1.2251963088924078]
 ['bimbo' 1.2109739990408697]]"
1934,266,"[['betty' 2.0018772607444917]
 ['peter' 1.4620214106010099]
 ['man' 1.4035483428943256]
 ['ollie' 1.2110595618736064]
 ['love' 1.1928857504673211]
 ['father' 1.1921768997704398]
 ['mary' 1.164002851481055]
 ['boy' 1.1622791779108415]
 ['tom' 1.1488907432290523]
 ['jim' 1.1437003298593804]]"
1935,291,"[['spanky' 1.899764881011643]
 ['betty' 1.8364113891251055]
 ['man' 1.3166376332472107]
 ['new' 1.291613915208407]
 ['gang' 1.284223623287915]
 ['film' 1.235502792898523]
 ['money' 1.1160683778296105]
 ['love' 1.0994910970322398]
 ['time' 1.0930950913427744]
 ['house' 1.0906509667815432]]"
1936,286,"[['betty' 2.2710916548873925]
 ['beans' 1.8168196291724488]
 ['pudgy' 1.8093304135414423]
 ['alfalfa' 1.6590894184838727]
 ['town' 1.2256819611571326]
 ['love' 1.212544685840797]
 ['film' 1.1798291498141111]
 ['little' 1.1737531350793875]
 ['spanky' 1.0819200473699646]
 ['school' 1.070033849212219]]"
1937,287,"[['betty' 1.6816267922315635]
 ['new' 1.4140715386725315]
 ['porky' 1.345223388377502]
 ['love' 1.3207910944268917]
 ['irene' 1.2781691536722901]
 ['father' 1.242010174958457]
 ['house' 1.1993137196872787]
 ['stooges' 1.1969935773379272]
 ['alfalfa' 1.1611133090775745]
 ['young' 1.0950967362586166]]"
1938,285,"[['alfalfa' 1.711207715942029]
 ['donald' 1.6870037995366614]
 ['porky' 1.6822294443121228]
 ['father' 1.6299667158803437]
 ['boys' 1.5507752895838403]
 ['love' 1.5137542450838815]
 ['new' 1.3403306544170708]
 ['mr' 1.2994253063152335]
 ['house' 1.2484781036035728]
 ['darla' 1.1869265791961687]]"
1939,270,"[['gang' 1.7414638632009534]
 ['father' 1.5645994662729332]
 ['love' 1.4068791851870315]
 ['mary' 1.3422255989963332]
 ['new' 1.3162750526630647]
 ['life' 1.2385426138374243]
 ['alfalfa' 1.2174687256416474]
 ['man' 1.1954259675488155]
 ['john' 1.1848173910771653]
 ['money' 1.0983816147542997]]"
1940,284,"[['work' 1.5304718339730152]
 ['new' 1.471872074231988]
 ['man' 1.453709154653249]
 ['gang' 1.316796259132942]
 ['town' 1.19125107195854]
 ['johnny' 1.162965484003045]
 ['life' 1.1515221741192443]
 ['film' 1.1224653470682135]
 ['com' 1.1171062006508756]
 ['love' 1.0979852096812024]]"
1941,242,"[['bugs' 1.7177743072253429]
 ['man' 1.5153868304394509]
 ['gang' 1.482492004528619]
 ['tom' 1.424403509641311]
 ['elmer' 1.2428148659581972]
 ['father' 1.2196474305145941]
 ['mickey' 1.161041941072036]
 ['jerry' 1.1512527546803644]
 ['love' 1.1395070766757878]
 ['new' 1.1378815811354253]]"
1942,269,"[['bugs' 2.0085034745785593]
 ['war' 1.422778106834318]
 ['gang' 1.3746039011677549]
 ['police' 1.3216353725677012]
 ['father' 1.2810554385429347]
 ['new' 1.2449490649906414]
 ['love' 1.2227936688935521]
 ['elmer' 1.1650219621947224]
 ['donald' 1.139783410815726]
 ['old' 1.1234122207143344]]"
1943,243,"[['film' 1.983632313641541]
 ['tom' 1.9533321512922488]
 ['war' 1.7306898868124194]
 ['jerry' 1.4566719114593623]
 ['german' 1.2812553774403383]
 ['world' 1.2374410745184474]
 ['daffy' 1.2127243495178943]
 ['stooges' 1.1990720298146835]
 ['men' 1.1451402579452774]
 ['dr' 1.1162602466139695]]"
1944,210,"[['wolf' 1.2832524661198368]
 ['tom' 1.2715530439532605]
 ['love' 1.1356438005331342]
 ['japanese' 1.1310283766817772]
 ['holmes' 1.103348368941151]
 ['war' 1.0948327926326098]
 ['daffy' 1.078732319058631]
 ['porky' 0.9977248848201911]
 ['jerry' 0.9853549458857568]
 ['woody' 0.9620541962504353]]"
1945,204,"[['joe' 1.404392660393614]
 ['man' 1.2506483338878742]
 ['holmes' 1.2375067148972194]
 ['home' 1.2075997838226007]
 ['tom' 1.1860452644227069]
 ['father' 1.1781624510135853]
 ['harry' 1.1100675918450715]
 ['new' 1.0887542275136441]
 ['japanese' 1.0481754288573568]
 ['woman' 1.0370568624870344]]"
1946,213,"[['man' 1.409643604476041]
 ['larry' 1.3904391399425817]
 ['johnny' 1.3593499798222792]
 ['film' 1.3138491655324607]
 ['war' 1.2683570882055688]
 ['love' 1.1977766548744582]
 ['wife' 1.1502555841477102]
 ['george' 1.13168568394396]
 ['new' 1.125297498733103]
 ['stooges' 1.0926467255284495]]"
1947,227,"[['man' 1.9836337980810086]
 ['tom' 1.6699657491086284]
 ['jerry' 1.432642577223672]
 ['wife' 1.426519429869406]
 ['joe' 1.3861652296717306]
 ['finds' 1.2424825799256018]
 ['dog' 1.241641884788153]
 ['police' 1.2406188341893605]
 ['woman' 1.2057692493759387]
 ['film' 1.1515157329286025]]"
1948,226,"[['daffy' 2.180720461641764]
 ['bugs' 1.773205946800955]
 ['joe' 1.5788027793856885]
 ['love' 1.5702194130943514]
 ['police' 1.450825940078936]
 ['town' 1.386901866008009]
 ['tom' 1.3807271927436524]
 ['man' 1.374995462086047]
 ['stooges' 1.356032715404758]
 ['new' 1.3433666907001423]]"
1949,241,"[['tom' 2.159794420431364]
 ['bugs' 1.8457990992618747]
 ['porky' 1.5057512233689792]
 ['jerry' 1.3877055386352115]
 ['man' 1.353942048262204]
 ['wife' 1.2776580143455125]
 ['love' 1.2370323928113143]
 ['tells' 1.2355063943886506]
 ['father' 1.214129261394965]
 ['dog' 1.2091394022706918]]"
1950,266,"[['tom' 2.374239867145665]
 ['jerry' 2.3023954777561944]
 ['man' 1.782501106503943]
 ['johnny' 1.516369907132596]
 ['stooges' 1.438251384964024]
 ['father' 1.4286375676017558]
 ['police' 1.392719403843589]
 ['new' 1.339398491811149]
 ['love' 1.3081873741271768]
 ['joe' 1.256516934247274]]"
