Movie release date,Number of movies,Ngrams and score
1944,275,"[['bugs' 1.513328862905631]
 ['daffy' 1.452942490031425]
 ['holmes' 1.3811555761506247]
 ['japanese' 1.3596620762350238]
 ['tom' 1.3187242930214635]
 ['man' 1.2850774589014242]
 ['porky' 1.2800893095458972]
 ['family' 1.2573998357299139]
 ['jerry' 1.2533789283634558]
 ['wolf' 1.18249269856735]
 ['home' 1.173025253633141]
 ['woman' 1.1227438243402392]
 ['war' 1.1180682636384929]
 ['tells' 1.0990767481608836]
 ['film' 1.0792678184645796]
 ['away' 1.0428928509988435]
 ['finds' 1.0323130340407753]
 ['new' 1.020864303917457]
 ['husband' 0.9945879517907948]
 ['house' 0.9904890356170243]]"
1945,259,"[['bugs' 1.7412581674618046]
 ['joe' 1.6820984047210397]
 ['tom' 1.3313999290024445]
 ['man' 1.2333593882397762]
 ['film' 1.1790277453769304]
 ['father' 1.1456225088891023]
 ['new' 1.1302503396135781]
 ['home' 1.1093515133964842]
 ['girl' 1.0903099006706127]
 ['don' 1.0868449259737192]
 ['holmes' 1.0865877132196409]
 ['war' 1.0684061196161914]
 ['wife' 1.0615281232477245]
 ['time' 1.008297401485279]
 ['woman' 0.9703603076205822]
 ['jerry' 0.9667362911176858]
 ['money' 0.9460384475609349]
 ['young' 0.9413049078104031]
 ['harry' 0.940170918235105]
 ['family' 0.9265114883658451]]"
1946,243,"[['bugs' 1.882038577764173]
 ['man' 1.3894186168905784]
 ['daffy' 1.2594544991246543]
 ['johnny' 1.232540392085027]
 ['larry' 1.2157340792036517]
 ['new' 1.1953566246036547]
 ['love' 1.1266781288986512]
 ['film' 1.0909088428276255]
 ['elmer' 1.0592154464454697]
 ['war' 1.0032419522410099]
 ['police' 0.9895140519208946]
 ['money' 0.9822630433910853]
 ['helen' 0.9818174994924194]
 ['later' 0.9655721620511267]
 ['tells' 0.9617573463994538]
 ['tom' 0.9578248660199672]
 ['bear' 0.9479016180658949]
 ['husband' 0.9430592305387888]
 ['jody' 0.9403567874960315]
 ['town' 0.9351700783553596]]"
1947,234,"[['tom' 1.8512684708846494]
 ['man' 1.7612548875694407]
 ['jerry' 1.7174146165958355]
 ['new' 1.2678363969877904]
 ['dog' 1.2591351660814223]
 ['wife' 1.2544673034028506]
 ['joe' 1.236936505276016]
 ['tells' 1.221740781616867]
 ['town' 1.2175756534037592]
 ['husband' 1.1805546689303406]
 ['film' 1.1670879321403338]
 ['police' 1.141835465387827]
 ['woman' 1.1357976596610992]
 ['finds' 1.0904078430545379]
 ['jeff' 1.0833935495047888]
 ['story' 1.082765961524387]
 ['friend' 1.0394692390287679]
 ['love' 1.0232465312183128]
 ['gets' 1.0084565589520833]
 ['house' 0.9884709632809783]]"
1948,253,"[['bugs' 1.943563135386123]
 ['tom' 1.7676985770275868]
 ['daffy' 1.551948358244074]
 ['police' 1.3849927840433822]
 ['man' 1.3592500406680426]
 ['town' 1.3041936241176784]
 ['joe' 1.2996854892329834]
 ['new' 1.2894844892668278]
 ['wife' 1.2507655719413509]
 ['home' 1.2090461349127948]
 ['love' 1.1738090049120564]
 ['stooges' 1.1308633003593187]
 ['war' 1.1029979034010604]
 ['tells' 1.0760207612781683]
 ['time' 1.0702589586861853]
 ['money' 1.057890942686865]
 ['larry' 1.0475974758873352]
 ['susan' 1.0313611016151893]
 ['finds' 1.030425457591306]
 ['father' 1.0146145064785281]]"
1949,245,"[['bugs' 3.1061275084504993]
 ['tom' 2.2129994590161526]
 ['jerry' 1.8676701884077782]
 ['porky' 1.3923798560044287]
 ['new' 1.250425903173332]
 ['house' 1.2380677625241954]
 ['police' 1.2297652539847888]
 ['joe' 1.227394095488707]
 ['john' 1.1326656165521227]
 ['film' 1.1143308655856612]
 ['man' 1.0917444178306173]
 ['tells' 1.0702288224879994]
 ['stooges' 1.0691453783852307]
 ['money' 1.0501341871502343]
 ['war' 1.0329113462565491]
 ['love' 1.0256531423221198]
 ['father' 1.022866945568912]
 ['home' 1.0212413189367457]
 ['young' 1.012379088428289]
 ['tries' 1.0120815280480977]]"
1950,252,"[['bugs' 2.837616936426022]
 ['tom' 2.1835710933919126]
 ['man' 1.9077147254010725]
 ['sam' 1.6464978778171278]
 ['johnny' 1.6219611243406302]
 ['jerry' 1.5941332224139602]
 ['daffy' 1.4283900298123817]
 ['father' 1.4091577763908618]
 ['police' 1.3418519444257302]
 ['men' 1.24861556161219]
 ['sylvester' 1.2353405618818707]
 ['stooges' 1.2271020269743727]
 ['tries' 1.2142862379863777]
 ['new' 1.1932785850497003]
 ['story' 1.1324494391455309]
 ['love' 1.1275969090780018]
 ['gets' 1.1217771933190286]
 ['harry' 1.1191566581277679]
 ['joe' 1.1187142950853888]
 ['train' 1.0974528652763063]]"
1951,253,"[['bugs' 2.502451750566862]
 ['tom' 2.477566050022568]
 ['jerry' 1.9345691337037398]
 ['love' 1.3368347268237863]
 ['war' 1.2309008592657105]
 ['police' 1.2157149914790168]
 ['men' 1.204225350816223]
 ['alice' 1.1654797711939855]
 ['george' 1.1262355189021414]
 ['father' 1.1202432718062436]
 ['man' 1.0793603464920267]
 ['sam' 1.0688003806629267]
 ['ship' 1.0625602354602213]
 ['time' 1.0453642977332407]
 ['film' 1.0390267498979706]
 ['town' 1.036322658160915]
 ['house' 1.0330411563370896]
 ['daffy' 1.0204647443059747]
 ['bruno' 0.9925601358790138]
 ['new' 0.9645137348510094]]"
1952,250,"[['tom' 4.006577906437933]
 ['jerry' 2.9013094325283637]
 ['bugs' 2.3119630480199542]
 ['film' 1.5929283282968922]
 ['jim' 1.5354312166891835]
 ['new' 1.4015988545541378]
 ['sam' 1.3545686276416946]
 ['love' 1.3120878640799674]
 ['spike' 1.2899261791332703]
 ['house' 1.276609993477188]
 ['men' 1.2674318698268126]
 ['woody' 1.245171727914619]
 ['wife' 1.2022636667303397]
 ['time' 1.1348063815704743]
 ['sach' 1.1182782011211623]
 ['daffy' 1.1129429611610433]
 ['money' 1.1028719862073921]
 ['finds' 1.0791285038819203]
 ['gold' 1.0630170178137528]
 ['man' 1.0623702065227003]]"
1953,273,"[['tom' 3.0166946789306177]
 ['jerry' 1.9211115467022792]
 ['new' 1.6803390577709054]
 ['bugs' 1.6639934176881752]
 ['harry' 1.517069289112735]
 ['man' 1.5021253659546296]
 ['money' 1.2243822775399547]
 ['father' 1.218750344360634]
 ['time' 1.2160856478215534]
 ['love' 1.1881427403152975]
 ['john' 1.1677116676206263]
 ['tries' 1.1476511577977453]
 ['men' 1.146376808979802]
 ['tells' 1.1228563295570613]
 ['sam' 1.1118609604365424]
 ['away' 1.1044064403807947]
 ['finds' 1.0798577546443164]
 ['war' 1.0793351768885804]
 ['wife' 1.065303643830038]
 ['film' 1.0530981634746406]]"
1954,210,"[['tom' 2.8112417197050417]
 ['bugs' 2.567146852482266]
 ['jerry' 2.311779734437669]
 ['new' 1.5422440780141573]
 ['sylvester' 1.3509354114190275]
 ['police' 1.3118192942546578]
 ['man' 1.2788034424207457]
 ['matt' 1.2091366062632152]
 ['barney' 1.1091908731903133]
 ['town' 1.0747935926352143]
 ['home' 1.0572140533068897]
 ['tries' 1.035333397521686]
 ['dog' 1.020029178300057]
 ['mark' 1.0149788010340515]
 ['men' 0.990655598944509]
 ['love' 0.9732801258079529]
 ['tells' 0.9591462797668167]
 ['time' 0.9554579131487297]
 ['takes' 0.9283772526905516]
 ['harry' 0.9210351289314914]]"
1955,236,"[['bugs' 1.8824372825808964]
 ['sylvester' 1.4781275956546558]
 ['tom' 1.4214890261754893]
 ['new' 1.3753372773789079]
 ['town' 1.342249123168831]
 ['jerry' 1.3241061461429577]
 ['man' 1.321268687760864]
 ['film' 1.2082358821319028]
 ['sam' 1.2047134540792235]
 ['woody' 1.193918883052551]
 ['police' 1.1638582191091738]
 ['eddie' 1.088653116922968]
 ['love' 1.0739236073100602]
 ['husband' 1.0572593412263116]
 ['tries' 1.0537621852747596]
 ['men' 1.042470038917738]
 ['away' 0.9946930129959762]
 ['shemp' 0.9944735669209293]
 ['home' 0.9764892249492011]
 ['davey' 0.9388455502778287]]"
1956,249,"[['tom' 2.380247957968599]
 ['new' 1.4354511146778632]
 ['man' 1.4219872024148925]
 ['town' 1.3962271588747384]
 ['woody' 1.3250936598186591]
 ['war' 1.3105391752003117]
 ['men' 1.2884269226130391]
 ['stooges' 1.2725267182494266]
 ['johnny' 1.1693137980627402]
 ['brother' 1.1681226146686134]
 ['love' 1.1557205544425748]
 ['king' 1.1526118986919789]
 ['police' 1.1297184366405126]
 ['father' 1.1182227822477195]
 ['bugs' 1.0646737176204661]
 ['george' 1.0416086141962009]
 ['family' 1.0363371910967423]
 ['tells' 1.019552644409499]
 ['time' 1.0114158007658671]
 ['killed' 1.0030253419037232]]"
1957,254,"[['joe' 1.651838425044918]
 ['tom' 1.568940612372768]
 ['tony' 1.4917491353755663]
 ['mike' 1.4770381803702053]
 ['jerry' 1.4313493862979314]
 ['cat' 1.3816105800744356]
 ['man' 1.3286621961986405]
 ['new' 1.3257461605165797]
 ['john' 1.226118636704224]
 ['police' 1.225141458740921]
 ['ralph' 1.208857836767194]
 ['wife' 1.181721773354771]
 ['american' 1.1674643262126216]
 ['time' 1.138438121878685]
 ['tells' 1.1006735019293554]
 ['gets' 1.0851289438118692]
 ['sylvester' 1.084150992469985]
 ['dr' 1.069564923842542]
 ['town' 1.0680348248767302]
 ['moe' 1.0671076808270579]]"
1958,212,"[['tom' 2.142863112145177]
 ['joe' 1.8693607348580683]
 ['men' 1.6290890588343299]
 ['town' 1.610155640514007]
 ['father' 1.3516351499821708]
 ['man' 1.3370222703726822]
 ['harris' 1.2531596463637984]
 ['bugs' 1.22463570092511]
 ['jim' 1.1939744810114918]
 ['young' 1.1850292849846558]
 ['film' 1.182985433597719]
 ['police' 1.1798901426934114]
 ['jerry' 1.1501208820547848]
 ['wife' 1.139431541203488]
 ['love' 1.088360260693505]
 ['woody' 1.083404647843732]
 ['new' 1.0369818174350791]
 ['finds' 1.0268267417030312]
 ['american' 1.0205190309470256]
 ['danny' 1.0059222345601695]]"
1959,193,"[['bugs' 2.8263807605912756]
 ['town' 1.5834192792006392]
 ['tony' 1.5689862406717001]
 ['joe' 1.4826673730272788]
 ['new' 1.1251326856777895]
 ['wife' 1.123445910366825]
 ['film' 1.1146663009724134]
 ['john' 1.0907451222008477]
 ['man' 1.0776120739766946]
 ['ben' 1.0324174434152937]
 ['father' 0.9666944723332537]
 ['elvis' 0.9302914947887898]
 ['time' 0.9116587140313052]
 ['finds' 0.9063983219188841]
 ['old' 0.8968665517543368]
 ['gil' 0.8850975266256738]
 ['end' 0.8845074146683148]
 ['george' 0.8835675604199146]
 ['morgan' 0.8645603119504539]
 ['american' 0.8610168886013586]]"
1960,146,"[['ship' 1.0026619454627008]
 ['film' 1.0019276626012132]
 ['ralph' 0.9766365681008851]
 ['man' 0.9587329164912449]
 ['family' 0.8684484376466609]
 ['wife' 0.8429702564481374]
 ['sam' 0.8403268025864132]
 ['professor' 0.8218750607846568]
 ['new' 0.814469332365226]
 ['sylvester' 0.7996701089044106]
 ['money' 0.7760551780014949]
 ['larry' 0.7522906749209656]
 ['home' 0.7441460978000318]
 ['bugs' 0.7430464098232509]
 ['town' 0.7198518339332094]
 ['father' 0.7075830224930686]
 ['finds' 0.6798706515966347]
 ['men' 0.6775670795930493]
 ['alfred' 0.6727472659291281]
 ['police' 0.663083629042857]]"
1961,158,"[['father' 1.0371893769611098]
 ['new' 1.0177286614838814]
 ['love' 0.9364424062978256]
 ['man' 0.9327684742277519]
 ['island' 0.9148919439100227]
 ['wife' 0.9016839700563399]
 ['young' 0.8871317762496158]
 ['mother' 0.8307781656778995]
 ['paul' 0.8193190705154338]
 ['film' 0.7925815948327926]
 ['son' 0.7850420430980954]
 ['tony' 0.7714804668955846]
 ['eddie' 0.7692593446617921]
 ['life' 0.7685705336737434]
 ['women' 0.7684937278427632]
 ['coyote' 0.755739262844155]
 ['tom' 0.748102991992075]
 ['family' 0.7414822710375395]
 ['killed' 0.7326426278123401]
 ['road' 0.7298812741789235]]"
1962,166,"[['jerry' 2.117932223861619]
 ['tom' 1.9439787680881389]
 ['man' 1.1539056558630547]
 ['sam' 1.1225072060016505]
 ['film' 1.1188328961164733]
 ['new' 1.0016678678868043]
 ['jane' 0.9374569980556244]
 ['wife' 0.9171171019017028]
 ['time' 0.871114265034553]
 ['family' 0.8655347050851353]
 ['mother' 0.7811530341016326]
 ['king' 0.7758923906623381]
 ['men' 0.7726088847609796]
 ['love' 0.7722851060087051]
 ['father' 0.7714619535635076]
 ['town' 0.7706676946790066]
 ['young' 0.7698800067322134]
 ['crew' 0.7666010392552021]
 ['finds' 0.7415683032511236]
 ['cat' 0.7287641477326479]]"
1963,149,"[['bugs' 1.6723300575721738]
 ['tom' 1.2276590918081665]
 ['family' 0.9778790155455203]
 ['sam' 0.945819898747992]
 ['sylvester' 0.9426836032488197]
 ['house' 0.927358021788438]
 ['film' 0.8667607097886133]
 ['home' 0.8556433072027698]
 ['war' 0.8030424805386303]
 ['man' 0.7739006198375546]
 ['dr' 0.7621869726203363]
 ['rocky' 0.7555186152129805]
 ['mother' 0.7547126672168754]
 ['love' 0.7480734125915016]
 ['new' 0.7230225301696388]
 ['joe' 0.7034344438230822]
 ['gets' 0.7014717601506247]
 ['young' 0.6885983504256465]
 ['charles' 0.6636021597785897]
 ['johnny' 0.6602887414755005]]"
1964,159,"[['man' 1.3750042548651888]
 ['bugs' 1.1895154386362687]
 ['woman' 1.0664375373110109]
 ['new' 1.054142583565001]
 ['home' 1.0511493886150571]
 ['wife' 1.0286465182973925]
 ['sam' 1.0208594198048813]
 ['film' 0.9918399865149843]
 ['mother' 0.9772541615168128]
 ['george' 0.8464635649910276]
 ['black' 0.8345822194257762]
 ['town' 0.8209737674589984]
 ['charlie' 0.8182009075894553]
 ['takes' 0.8158605269429866]
 ['young' 0.8078400845282014]
 ['husband' 0.8040693041044983]
 ['time' 0.7899475752311147]
 ['police' 0.7865746575456453]
 ['love' 0.785306631632658]
 ['beach' 0.7780853367426812]]"
1965,179,"[['daffy' 1.233156506821335]
 ['wife' 1.0588356258204727]
 ['man' 1.0583987715958771]
 ['american' 0.9406863611845722]
 ['father' 0.9159836624098002]
 ['captain' 0.854239082280595]
 ['panther' 0.8487814201114732]
 ['film' 0.8405904654067169]
 ['new' 0.8403866386401946]
 ['love' 0.8348850772482632]
 ['woman' 0.8211112774490683]
 ['charlie' 0.817423100933976]
 ['takes' 0.8087587449870867]
 ['dr' 0.8009189310005458]
 ['help' 0.7992203030884686]
 ['tries' 0.7965859046169791]
 ['car' 0.7708070913172764]
 ['old' 0.7667685944855879]
 ['war' 0.7568023820278417]
 ['life' 0.7519220556666765]]"
1966,182,"[['deux' 1.8337880993529065]
 ['film' 1.3622149239517076]
 ['man' 1.3015121841840016]
 ['house' 1.2488256838216434]
 ['inspector' 1.1962085392759214]
 ['town' 1.1212111590168132]
 ['wife' 1.0594541311042145]
 ['new' 1.057893679555838]
 ['dr' 1.028258012659523]
 ['speedy' 0.9784875261133796]
 ['men' 0.9720234337194026]
 ['deux deux' 0.9389897117266843]
 ['daffy' 0.9318369228488022]
 ['time' 0.842626385689911]
 ['world' 0.8141825258452284]
 ['american' 0.8019331087748178]
 ['away' 0.7592813811931163]
 ['home' 0.7529592492763008]
 ['captain' 0.7489018913144564]
 ['life' 0.7487712689912805]]"
1967,188,"[['tom' 1.7487602198436751]
 ['paul' 1.399775435725319]
 ['man' 1.3709212955782957]
 ['wife' 1.1339311029513839]
 ['money' 1.0657496809882825]
 ['gang' 1.019917892056952]
 ['dr' 1.005783976654357]
 ['jerry' 0.9755897026870248]
 ['horse' 0.9723689488442337]
 ['new' 0.9524337065923698]
 ['young' 0.9524259514547304]
 ['war' 0.9363712527033499]
 ['woman' 0.8663344422445165]
 ['film' 0.8586506271862321]
 ['secret' 0.8518780308243715]
 ['town' 0.8310042502288413]
 ['love' 0.8194451332351135]
 ['pink' 0.7835916760413943]
 ['police' 0.7784556021024426]
 ['local' 0.778435981101553]]"
1968,198,"[['film' 1.335293174505783]
 ['frank' 1.1497326638213785]
 ['charlie' 1.1276219464938646]
 ['home' 1.0768579026696639]
 ['man' 1.0719193900977761]
 ['new' 1.0229780953345375]
 ['joe' 0.97165648008466]
 ['wife' 0.9680893890529073]
 ['house' 0.9389247517260935]
 ['young' 0.9210330703919717]
 ['harry' 0.8947596663757186]
 ['men' 0.8479059316542206]
 ['time' 0.830027853186853]
 ['husband' 0.8133025084296415]
 ['police' 0.7747443577740222]
 ['life' 0.753386709993453]
 ['takes' 0.7398470843493316]
 ['eventually' 0.7354366645135265]
 ['town' 0.728547769335826]
 ['finds' 0.7210417422944292]]"
1969,184,"[['film' 1.5204360512213682]
 ['town' 1.2101789699946592]
 ['man' 1.1933480981624656]
 ['joe' 1.0145484580265847]
 ['mary' 0.9886412259710077]
 ['gang' 0.8914873293477373]
 ['army' 0.8908073057810052]
 ['war' 0.8897963215322671]
 ['wife' 0.8844680830495615]
 ['life' 0.8730861891274329]
 ['men' 0.8273273379921499]
 ['new' 0.8184398452882338]
 ['church' 0.7859240225364978]
 ['love' 0.7828543203813314]
 ['home' 0.7796972459652156]
 ['time' 0.7650523488673766]
 ['tells' 0.7628055949375213]
 ['set' 0.7585366636914725]
 ['world' 0.7280344585161549]
 ['meets' 0.712183910380607]]"
1970,203,"[['film' 1.293279659671499]
 ['father' 1.1740205407598991]
 ['new' 1.1691597153779516]
 ['jack' 1.0470003688508345]
 ['life' 1.0452896807759298]
 ['dr' 1.0374304783240127]
 ['group' 1.0108645301848922]
 ['man' 0.9964519403565124]
 ['town' 0.9907250287808279]
 ['susan' 0.9847326170673134]
 ['young' 0.9539874830669797]
 ['michael' 0.9445066072172016]
 ['home' 0.9404397108652242]
 ['joe' 0.923777872798863]
 ['harry' 0.9129889115136611]
 ['set' 0.9047771819612428]
 ['family' 0.8912840015559962]
 ['woman' 0.8642990690729615]
 ['finds' 0.859278741219122]
 ['old' 0.8560366946267897]]"
1971,213,"[['town' 1.6429634993504798]
 ['film' 1.3430930998025088]
 ['man' 1.1275024669409937]
 ['new' 0.9727202160145324]
 ['old' 0.967830940726068]
 ['city' 0.9633412392910887]
 ['men' 0.9370116169296209]
 ['john' 0.9305594962587067]
 ['group' 0.9276581405396007]
 ['mother' 0.9157323452083058]
 ['joe' 0.9144685324351547]
 ['police' 0.9125213301130684]
 ['life' 0.8755429878660916]
 ['family' 0.8678747846289727]
 ['home' 0.8654697303364169]
 ['love' 0.8547101300802582]
 ['car' 0.8531086546766604]
 ['movie' 0.8351044806551685]
 ['alex' 0.8326815805254127]
 ['girl' 0.8316119481933448]]"
1972,225,"[['film' 1.6659052045818912]
 ['life' 1.3427325261295842]
 ['man' 1.1790819621271924]
 ['husband' 1.0677538287641872]
 ['home' 1.0348767500214269]
 ['father' 1.015892019301061]
 ['men' 0.9967705573878474]
 ['son' 0.9781953291000393]
 ['police' 0.9737854956182865]
 ['baxter' 0.9573031625542414]
 ['finds' 0.955305161813946]
 ['tells' 0.9552388593404513]
 ['help' 0.9464121207539282]
 ['young' 0.9448905190965863]
 ['way' 0.9440280707163468]
 ['new' 0.9392245445364764]
 ['john' 0.937228386440236]
 ['takes' 0.934456711767847]
 ['woman' 0.9206815613942708]
 ['local' 0.9205057610813591]]"
1973,218,"[['man' 1.370379295915411]
 ['new' 1.3365128798176968]
 ['film' 1.2763058078045753]
 ['father' 1.1874377956965363]
 ['time' 1.1250622275822262]
 ['young' 1.1067000885408875]
 ['wife' 1.0938175800781678]
 ['david' 1.0767459052135928]
 ['old' 1.0339264471199083]
 ['life' 1.033380418865486]
 ['home' 0.9967582898563304]
 ['tries' 0.9717296888227912]
 ['house' 0.9586554576238017]
 ['men' 0.9495369326199867]
 ['money' 0.9336326807054112]
 ['woman' 0.9307628587571796]
 ['billy' 0.9113273870199456]
 ['later' 0.904246268408656]
 ['gang' 0.9038305579654156]
 ['finds' 0.9037958971994391]]"
1974,247,"[['film' 1.4063108079086786]
 ['man' 1.3380999354459493]
 ['police' 1.3096110760949025]
 ['school' 1.254944846798884]
 ['family' 1.1663330407006691]
 ['new' 1.1560483655524834]
 ['young' 1.0143273150271332]
 ['doctor' 0.9991772319812857]
 ['mother' 0.9862215552045147]
 ['car' 0.977854572886476]
 ['home' 0.9760719012454587]
 ['woman' 0.9686321971484059]
 ['life' 0.9442514547068286]
 ['house' 0.9421110559600403]
 ['town' 0.9402549561589493]
 ['help' 0.9377504606688238]
 ['child' 0.9316920611705316]
 ['men' 0.9231530460717374]
 ['wife' 0.9177217987762236]
 ['father' 0.9116534355404943]]"
1975,203,"[['film' 1.2307403454473427]
 ['man' 1.2010211738352206]
 ['new' 1.0703336065983111]
 ['wife' 0.9379635769922757]
 ['brown' 0.8331843964932513]
 ['children' 0.8253171594256659]
 ['sarah' 0.8000484876078788]
 ['story' 0.7736979042237266]
 ['buford' 0.7706481233741161]
 ['life' 0.7618294032828388]
 ['eventually' 0.7556370168062451]
 ['killed' 0.7427213606389167]
 ['home' 0.7394667397447247]
 ['way' 0.7303567218278014]
 ['men' 0.729707919442085]
 ['family' 0.7069146179062584]
 ['brother' 0.6994915458232559]
 ['father' 0.6874709769650107]
 ['harry' 0.6825943007575473]
 ['finds' 0.6713269384897997]]"
1976,221,"[['film' 1.574112045520377]
 ['man' 1.3850705097814604]
 ['woman' 1.2191728980318404]
 ['new' 1.1617590220922693]
 ['young' 1.115041995726789]
 ['wife' 1.1081365966377907]
 ['mother' 1.107786311799846]
 ['panther' 1.0756344581722175]
 ['father' 0.9881138980978427]
 ['old' 0.9451725859508731]
 ['police' 0.9396892102598211]
 ['logan' 0.9115334407792236]
 ['men' 0.9080402476558218]
 ['life' 0.8769313059229564]
 ['city' 0.862250085868391]
 ['chris' 0.8516188293602671]
 ['car' 0.8228069717502633]
 ['town' 0.7827118492161028]
 ['jack' 0.7697727364065208]
 ['time' 0.7624403068742965]]"
1977,194,"[['bobby' 1.3443940450352017]
 ['film' 1.2418201631392343]
 ['car' 1.1612074377365664]
 ['man' 1.1259557000063443]
 ['new' 1.0968856276816539]
 ['family' 1.082210042664365]
 ['wife' 1.0523368258434311]
 ['time' 0.9550071390132836]
 ['home' 0.9314835922281512]
 ['father' 0.9202487896126965]
 ['john' 0.8869677182020117]
 ['tells' 0.8868898496092925]
 ['death' 0.8500143358337103]
 ['love' 0.8466325205824311]
 ['son' 0.8182710825109729]
 ['buford' 0.8025095052775111]
 ['town' 0.7996112008320045]
 ['life' 0.7809491770106124]
 ['young' 0.7664881674839813]
 ['woman' 0.7648336383009532]]"
1978,219,"[['film' 1.4637392819533515]
 ['new' 1.338252632413333]
 ['billy' 1.2734710620130136]
 ['family' 1.256599412724317]
 ['man' 1.247149967930675]
 ['father' 1.165272905620626]
 ['stella' 1.1330824358071234]
 ['michael' 1.1178714491207429]
 ['woman' 1.1176176509488807]
 ['jennifer' 1.0731690035387953]
 ['car' 1.0597619628900665]
 ['time' 1.0239307582589616]
 ['police' 1.0134379466469012]
 ['young' 1.0073989295160732]
 ['school' 0.9920572660820663]
 ['patty' 0.9843528392633238]
 ['tony' 0.975046211715936]
 ['finds' 0.9732319769842127]
 ['day' 0.9406378001170584]
 ['old' 0.9329833955386634]]"
1979,217,"[['new' 1.3466096441131912]
 ['film' 1.2977364577159696]
 ['home' 1.2689435324131417]
 ['life' 1.1276153126308022]
 ['young' 1.0835476513629068]
 ['house' 1.081955092369874]
 ['david' 1.0592380090346205]
 ['team' 1.0577056260767]
 ['man' 1.0376395376558838]
 ['family' 0.9608038160562473]
 ['time' 0.8979093555884252]
 ['father' 0.8957056192833126]
 ['ship' 0.8933186224117383]
 ['love' 0.873960910455333]
 ['town' 0.8476110491023443]
 ['old' 0.8352295895135988]
 ['dracula' 0.8281732907943755]
 ['goes' 0.8212586475661058]
 ['finds' 0.8195140116687163]
 ['named' 0.8044895102189491]]"
1980,263,"[['film' 1.8661175924601627]
 ['man' 1.463540384396348]
 ['new' 1.4435124587277883]
 ['family' 1.35164508593522]
 ['time' 1.3479159473798605]
 ['young' 1.307105176763683]
 ['life' 1.275028917709206]
 ['mother' 1.2219572016555615]
 ['police' 1.1351923391778096]
 ['home' 1.117677868072094]
 ['love' 1.1088210788362924]
 ['town' 1.0880111741996248]
 ['killer' 1.0711888246058203]
 ['jack' 1.0618510510300174]
 ['kane' 1.0399529231649813]
 ['tries' 1.032869079833203]
 ['help' 1.0321229903243]
 ['father' 1.0115356213482407]
 ['wife' 1.0107030853416297]
 ['later' 1.004843304038345]]"
1981,242,"[['film' 1.5391892216884677]
 ['arthur' 1.3939611577151148]
 ['new' 1.2810023478939578]
 ['david' 1.2160846183944676]
 ['police' 1.1974643292642517]
 ['father' 1.1915860641371188]
 ['life' 1.1903780886877746]
 ['time' 1.1454094306325449]
 ['home' 1.099062844547748]
 ['man' 1.0912688502076198]
 ['finds' 1.0824747680231523]
 ['family' 1.080607892611636]
 ['car' 1.0780801174347199]
 ['tells' 1.0575414204624465]
 ['frank' 1.0207251663866435]
 ['young' 1.017590300548771]
 ['son' 1.0087187137797515]
 ['jack' 0.9866397447881915]
 ['amy' 0.9748252255651366]
 ['house' 0.97023159958454]]"
1982,254,"[['film' 1.791830535641623]
 ['house' 1.6851288747921473]
 ['home' 1.3661214028975401]
 ['new' 1.350463418343946]
 ['man' 1.313387734596147]
 ['jack' 1.2772318962341886]
 ['school' 1.1866834290781316]
 ['father' 1.1820472032288942]
 ['car' 1.171913693126991]
 ['paul' 1.1593475110073026]
 ['zack' 1.1242927948560384]
 ['young' 1.0956593628235936]
 ['night' 1.0922134323338442]
 ['away' 1.078092851857412]
 ['make' 1.0767716668489637]
 ['life' 1.0547070900559994]
 ['time' 1.0339585999671521]
 ['woman' 1.0318653976558796]
 ['old' 1.0258343941553933]
 ['michael' 1.0142648573198343]]"
1983,248,"[['tony' 1.478098186882003]
 ['film' 1.460812789897203]
 ['home' 1.3401666747140482]
 ['group' 1.3271599867571475]
 ['house' 1.2672817768052385]
 ['mother' 1.2589894155113632]
 ['family' 1.2542046229030346]
 ['father' 1.253072381212944]
 ['new' 1.2384134539424094]
 ['police' 1.215252756750405]
 ['car' 1.1863725193928794]
 ['time' 1.1571172282588646]
 ['alex' 1.1455079264401473]
 ['jack' 1.1441988934142344]
 ['life' 1.1435672682971088]
 ['death' 1.1068882992756475]
 ['love' 1.0924481745061856]
 ['town' 1.0694907995246778]
 ['tells' 1.0562795245287508]
 ['night' 1.0529396081460274]]"
1984,281,"[['billy' 2.0282309805876997]
 ['film' 1.975394347792986]
 ['jake' 1.684937962861887]
 ['man' 1.6418536561420913]
 ['new' 1.6208334787953935]
 ['home' 1.5723664249199514]
 ['father' 1.4463216401684436]
 ['tells' 1.420638138112627]
 ['family' 1.3601888101012551]
 ['mother' 1.344027259437098]
 ['named' 1.2797455854977273]
 ['life' 1.2683166970791764]
 ['johnny' 1.2443243334465004]
 ['charlie' 1.2317957558535393]
 ['goes' 1.1953774804711772]
 ['young' 1.1876476595698728]
 ['school' 1.1781921274744067]
 ['time' 1.1780063487456207]
 ['later' 1.160666201881295]
 ['car' 1.1605430243884136]]"
