Movie release date,Number of movies,top 20 2grams
1924,161,"[(('falls', 'love'), 7), (('york', 'times'), 6), (('queen', 'elizabeth'), 6), (('times', 'overview'), 5), (('agrees', 'marry'), 4), (('trina', 'mcteague'), 4), (('miss', 'baker'), 4), (('new', 'york'), 4), (('mongol', 'slave'), 4), (('mongol', 'prince'), 4), (('sneaks', 'into'), 3), (('decides', 'go'), 3), (('few', 'days'), 3), (('young', 'girl'), 3), (('after', 'mcteague'), 3), (('death', 'valley'), 3), (('young', 'woman'), 3), (('grannis', 'miss'), 3), (('lost', 'boys'), 3), (('duke', 'chartres'), 3)]"
1925,184,"[(('falls', 'love'), 12), (('new', 'york'), 6), (('father', 'time'), 4), (('meets', 'falls'), 3), (('last', 'minute'), 3), (('general', 'de'), 3), (('de', 'muro'), 3), (('cesar', 'dolores'), 3), (('taken', 'over'), 3), (('go', 'back'), 3), (('back', 'into'), 3), (('transforms', 'back'), 3), (('jekyll', 'hyde'), 3), (('prince', 'kynd'), 3), (('uncle', 'henry'), 3), (('fallen', 'love'), 3), (('christine', 'raoul'), 3), (('showing', 'off'), 2), (('little', 'rich'), 2), (('rich', 'girl'), 2)]"
1926,163,"[(('black', 'pirate'), 6), (('vicomte', 'paul'), 5), (('runs', 'into'), 4), (('big', 'cat'), 4), (('falls', 'love'), 4), (('joe', 'farina'), 4), (('la', 'brunna'), 4), (('young', 'woman'), 3), (('fifi', 'bertie'), 3), (('new', 'york'), 3), (('paulette', 'renal'), 3), (('renal', 'decides'), 3), (('don', 'juan'), 3), (('prince', 'lucio'), 3), (('world', 'war'), 3), (('pirate', 'lieutenant'), 3), (('dona', 'bernarda'), 3), (('latin', 'quarter'), 2), (('burdon', 'porhoet'), 2), (('haddo', 'porhoet'), 2)]"
1927,172,"[(('falls', 'love'), 8), (('two', 'men'), 6), (('betty', 'lou'), 5), (('young', 'woman'), 4), (('three', 'fathers'), 3), (('even', 'though'), 3), (('gets', 'into'), 3), (('order', 'escape'), 2), (('ellen', 'callahan'), 2), (('high', 'school'), 2), (('agrees', 'marry'), 2), (('not', 'wish'), 2), (('without', 'telling'), 2), (('must', 'wonderful'), 2), (('being', 'sent'), 2), (('tries', 'kiss'), 2), (('back', 'them'), 2), (('give', 'them'), 2), (('von', 'haugk'), 2), (('must', 'go'), 2)]"
1928,177,"[(('stan', 'ollie'), 8), (('world', 'war'), 6), (('go', 'off'), 4), (('even', 'though'), 4), (('grand', 'duke'), 4), (('french', 'horn'), 4), (('wealthy', 'man'), 3), (('returns', 'home'), 3), (('no', 'longer'), 3), (('not', 'believe'), 3), (('go', 'back'), 3), (('two', 'men'), 3), (('madame', 'bauer'), 3), (('one', 'them'), 3), (('film', 'centers'), 3), (('von', 'raden'), 3), (('fallen', 'love'), 3), (('one', 'more'), 3), (('new', 'york'), 3), (('chorus', 'girl'), 3)]"
1929,220,"[(('new', 'york'), 9), (('stan', 'ollie'), 8), (('falls', 'love'), 8), (('laurel', 'hardy'), 5), (('blue', 'boy'), 5), (('returns', 'home'), 5), (('de', 'sylva'), 5), (('uncle', 'bernal'), 4), (('ranger', 'jim'), 4), (('not', 'seem'), 3), (('get', 'away'), 3), (('makes', 'clear'), 3), (('back', 'into'), 3), (('young', 'woman'), 3), (('love', 'young'), 3), (('first', 'attempt'), 3), (('young', 'man'), 3), (('next', 'day'), 3), (('run', 'away'), 3), (('fall', 'love'), 3)]"
1930,220,"[(('falls', 'love'), 18), (('stan', 'ollie'), 13), (('miss', 'crabtree'), 10), (('after', 'being'), 8), (('new', 'york'), 7), (('world', 'war'), 7), (('gentleman', 'caller'), 6), (('takes', 'place'), 5), (('lord', 'varney'), 5), (('mickey', 'gang'), 4), (('during', 'world'), 4), (('laurel', 'hardy'), 4), (('mary', 'ann'), 4), (('young', 'man'), 4), (('go', 'back'), 4), (('firing', 'squad'), 4), (('wants', 'marry'), 4), (('machine', 'gun'), 4), (('young', 'soldiers'), 4), (('medicine', 'show'), 3)]"
1931,263,"[(('van', 'helsing'), 18), (('new', 'york'), 10), (('betty', 'boop'), 8), (('miss', 'crabtree'), 8), (('falls', 'love'), 7), (('mata', 'hari'), 7), (('tries', 'get'), 6), (('world', 'war'), 6), (('wheezer', 'dorothy'), 6), (('sir', 'danvers'), 6), (('runs', 'away'), 5), (('even', 'though'), 5), (('goes', 'see'), 5), (('not', 'want'), 5), (('just', 'before'), 5), (('flower', 'girl'), 5), (('sea', 'captain'), 5), (('sam', 'sally'), 5), (('old', 'lady'), 5), (('de', 'jonghe'), 5)]"
1932,282,"[(('new', 'york'), 24), (('falls', 'love'), 12), (('young', 'man'), 11), (('world', 'war'), 10), (('even', 'though'), 9), (('york', 'city'), 8), (('stan', 'ollie'), 8), (('fu', 'manchu'), 8), (('no', 'longer'), 7), (('nayland', 'smith'), 7), (('not', 'only'), 6), (('all', 'money'), 6), (('girl', 'beagle'), 6), (('pit', 'bull'), 6), (('von', 'furst'), 6), (('laurel', 'hardy'), 5), (('returns', 'home'), 5), (('betty', 'boop'), 5), (('run', 'away'), 5), (('offers', 'take'), 5)]"
1933,285,"[(('new', 'york'), 25), (('old', 'man'), 15), (('girl', 'coonhound'), 10), (('king', 'klunk'), 10), (('turns', 'into'), 9), (('pauline', 'warde'), 9), (('wild', 'man'), 9), (('tries', 'get'), 8), (('even', 'though'), 7), (('not', 'only'), 7), (('world', 'war'), 6), (('two', 'men'), 6), (('betty', 'boop'), 6), (('falls', 'love'), 6), (('uncle', 'george'), 6), (('drives', 'off'), 5), (('once', 'again'), 5), (('laurel', 'hardy'), 5), (('fallen', 'love'), 5), (('did', 'not'), 5)]"
1934,300,"[(('judge', 'priest'), 39), (('new', 'york'), 17), (('reverend', 'brand'), 12), (('falls', 'love'), 9), (('stan', 'ollie'), 9), (('elli', 'may'), 9), (('bob', 'gillus'), 9), (('even', 'though'), 8), (('von', 'sturm'), 8), (('fire', 'engine'), 8), (('van', 'alstyne'), 8), (('goes', 'back'), 7), (('senator', 'maydew'), 7), (('bo', 'peep'), 7), (('sir', 'julian'), 6), (('fallen', 'love'), 6), (('miss', 'withers'), 6), (('not', 'only'), 5), (('laurel', 'hardy'), 5), (('not', 'love'), 5)]"
1935,299,"[(('new', 'york'), 19), (('captain', 'warrington'), 15), (('falls', 'love'), 9), (('too', 'much'), 7), (('utah', 'joe'), 7), (('steve', 'mortimer'), 7), (('just', 'before'), 6), (('de', 'winter'), 6), (('spud', 'smiley'), 6), (('chief', 'white'), 5), (('fallen', 'love'), 5), (('lady', 'de'), 5), (('charlie', 'andrews'), 5), (('laurel', 'hardy'), 5), (('uncle', 'billy'), 5), (('film', 'opens'), 4), (('best', 'friend'), 4), (('little', 'kitty'), 4), (('been', 'sent'), 4), (('little', 'lloyd'), 4)]"
1936,311,"[(('new', 'york'), 16), (('falls', 'love'), 9), (('ice', 'cream'), 8), (('san', 'francisco'), 7), (('not', 'only'), 6), (('runs', 'into'), 6), (('spanky', 'alfalfa'), 6), (('de', 'beaupre'), 6), (('go', 'back'), 5), (('tries', 'get'), 5), (('just', 'before'), 5), (('once', 'again'), 5), (('runs', 'away'), 4), (('complications', 'arise'), 4), (('father', 'tim'), 4), (('tracks', 'down'), 4), (('gets', 'into'), 4), (('falls', 'asleep'), 4), (('gene', 'autry'), 4), (('yellow', 'hand'), 4)]"
1937,313,"[(('snow', 'white'), 16), (('even', 'though'), 10), (('new', 'york'), 10), (('newspaper', 'boy'), 8), (('wang', 'lung'), 8), (('no', 'one'), 7), (('tries', 'get'), 7), (('did', 'not'), 6), (('falls', 'love'), 6), (('young', 'woman'), 6), (('de', 'laage'), 6), (('stan', 'ollie'), 6), (('only', 'find'), 5), (('fall', 'love'), 5), (('after', 'being'), 5), (('take', 'over'), 5), (('gene', 'frog'), 5), (('too', 'much'), 5), (('united', 'states'), 5), (('get', 'into'), 5)]"
1938,279,"[(('new', 'york'), 22), (('de', 'lesseps'), 17), (('falls', 'love'), 12), (('san', 'francisco'), 7), (('lady', 'malverton'), 7), (('judge', 'hardy'), 7), (('back', 'into'), 6), (('mei', 'lei'), 6), (('having', 'affair'), 5), (('young', 'squirrel'), 5), (('palm', 'beach'), 5), (('kublai', 'khan'), 5), (('did', 'not'), 5), (('christmas', 'eve'), 5), (('another', 'fish'), 5), (('arrives', 'home'), 4), (('immediately', 'falls'), 4), (('comes', 'back'), 4), (('year', 'old'), 4), (('goes', 'into'), 4)]"
1939,301,"[(('new', 'york'), 17), (('falls', 'love'), 12), (('returns', 'home'), 7), (('world', 'war'), 7), (('not', 'want'), 6), (('no', 'one'), 5), (('not', 'only'), 5), (('fall', 'love'), 5), (('one', 'day'), 5), (('gonna', 'robin'), 5), (('two', 'years'), 5), (('after', 'being'), 5), (('being', 'held'), 5), (('fiddler', 'fifer'), 5), (('miss', 'minchin'), 5), (('casper', 'fido'), 5), (('sir', 'henry'), 5), (('miss', 'lu'), 5), (('lady', 'brandon'), 5), (('american', 'civil'), 4)]"
1940,291,"[(('new', 'york'), 17), (('stan', 'ollie'), 13), (('de', 'winter'), 12), (('flower', 'belle'), 12), (('van', 'meer'), 10), (('falls', 'love'), 8), (('don', 'alvarez'), 8), (('even', 'though'), 7), (('did', 'not'), 6), (('de', 'praslin'), 6), (('world', 'war'), 6), (('runs', 'into'), 6), (('sarah', 'jane'), 6), (('blue', 'fairy'), 5), (('too', 'much'), 5), (('trying', 'get'), 5), (('dead', 'end'), 5), (('back', 'into'), 4), (('into', 'hole'), 4), (('tries', 'get'), 4)]"
1941,313,"[(('new', 'york'), 26), (('miss', 'prottle'), 16), (('falls', 'love'), 11), (('runs', 'into'), 9), (('world', 'war'), 9), (('gin', 'sling'), 9), (('western', 'union'), 8), (('once', 'again'), 7), (('back', 'into'), 7), (('two', 'them'), 7), (('takes', 'place'), 6), (('this', 'time'), 6), (('john', 'doe'), 6), (('chuck', 'ferdie'), 6), (('there', 'no'), 5), (('get', 'back'), 5), (('york', 'city'), 5), (('no', 'longer'), 5), (('turns', 'into'), 5), (('not', 'only'), 5)]"
1942,336,"[(('world', 'war'), 31), (('new', 'york'), 24), (('professor', 'scarecrow'), 17), (('falls', 'love'), 11), (('united', 'states'), 10), (('ludwig', 'frankenstein'), 10), (('york', 'city'), 9), (('back', 'into'), 9), (('after', 'being'), 8), (('no', 'longer'), 8), (('von', 'luber'), 8), (('spy', 'ring'), 7), (('during', 'world'), 7), (('jeff', 'orville'), 7), (('one', 'day'), 6), (('runs', 'into'), 6), (('scarecrow', 'blackbird'), 6), (('soon', 'after'), 6), (('just', 'before'), 6), (('next', 'morning'), 6)]"
1943,301,"[(('world', 'war'), 22), (('united', 'states'), 13), (('two', 'men'), 9), (('even', 'though'), 9), (('during', 'world'), 8), (('falls', 'love'), 8), (('von', 'vulture'), 8), (('black', 'pete'), 8), (('adolf', 'hitler'), 7), (('uncle', 'charlie'), 7), (('foxy', 'loxy'), 7), (('shot', 'down'), 6), (('war', 'ii'), 6), (('yellow', 'dog'), 6), (('back', 'into'), 6), (('new', 'york'), 6), (('young', 'woman'), 6), (('lois', 'henderson'), 6), (('three', 'men'), 5), (('third', 'pig'), 5)]"
1944,275,"[(('lady', 'jane'), 27), (('world', 'war'), 20), (('sir', 'frederick'), 14), (('van', 'der'), 13), (('new', 'york'), 11), (('yousef', 'bey'), 10), (('yap', 'yap'), 10), (('der', 'lyn'), 9), (('falls', 'love'), 8), (('two', 'men'), 8), (('no', 'longer'), 7), (('during', 'world'), 7), (('get', 'rid'), 6), (('holmes', 'watson'), 6), (('von', 'weber'), 6), (('tana', 'leaves'), 5), (('von', 'friesche'), 5), (('hulagu', 'khan'), 5), (('big', 'shot'), 5), (('next', 'door'), 5)]"
1945,259,"[(('world', 'war'), 20), (('new', 'york'), 14), (('during', 'world'), 10), (('there', 'no'), 10), (('falls', 'love'), 9), (('no', 'one'), 8), (('war', 'ii'), 7), (('young', 'woman'), 7), (('once', 'again'), 7), (('yellow', 'duck'), 7), (('this', 'time'), 6), (('girl', 'cat'), 6), (('only', 'find'), 5), (('not', 'only'), 5), (('comes', 'back'), 5), (('go', 'back'), 5), (('returns', 'home'), 5), (('holmes', 'watson'), 5), (('larry', 'curly'), 5), (('fairy', 'godmother'), 5)]"
1946,243,"[(('world', 'war'), 18), (('uncle', 'remus'), 18), (('new', 'york'), 15), (('falls', 'love'), 9), (('moe', 'larry'), 8), (('duke', 'chester'), 8), (('after', 'being'), 5), (('war', 'ii'), 5), (('nightclub', 'owner'), 5), (('runs', 'into'), 5), (('fallen', 'love'), 5), (('los', 'angeles'), 5), (('after', 'world'), 5), (('two', 'men'), 5), (('not', 'only'), 5), (('between', 'two'), 5), (('york', 'city'), 5), (('only', 'find'), 5), (('doll', 'face'), 5), (('jerry', 'nibbles'), 5)]"
1947,234,"[(('new', 'york'), 16), (('just', 'before'), 10), (('tries', 'get'), 9), (('world', 'war'), 8), (('de', 'silva'), 8), (('united', 'states'), 7), (('runs', 'into'), 6), (('not', 'only'), 6), (('york', 'city'), 6), (('no', 'longer'), 6), (('fallen', 'love'), 5), (('run', 'away'), 5), (('all', 'over'), 5), (('there', 'no'), 5), (('hot', 'lips'), 5), (('moe', 'larry'), 5), (('only', 'find'), 5), (('barnyard', 'dawg'), 5), (('santa', 'claus'), 5), (('easter', 'bunny'), 5)]"
1948,253,"[(('road', 'runner'), 15), (('new', 'york'), 12), (('two', 'men'), 10), (('world', 'war'), 10), (('war', 'ii'), 9), (('moe', 'larry'), 9), (('even', 'though'), 8), (('falls', 'love'), 7), (('no', 'longer'), 7), (('wolf', 'man'), 7), (('being', 'held'), 7), (('once', 'again'), 7), (('returns', 'home'), 7), (('goes', 'into'), 7), (('fox', 'elmer'), 6), (('runs', 'into'), 6), (('don', 'pedro'), 6), (('back', 'into'), 6), (('bugs', 'tries'), 6), (('tries', 'get'), 6)]"
1949,245,"[(('narrator', 'presents'), 15), (('world', 'war'), 14), (('falls', 'love'), 11), (('new', 'york'), 8), (('back', 'into'), 8), (('sister', 'margaret'), 8), (('sea', 'lion'), 8), (('one', 'last'), 7), (('san', 'francisco'), 7), (('fallen', 'love'), 6), (('miss', 'em'), 6), (('returns', 'home'), 6), (('too', 'much'), 6), (('get', 'back'), 6), (('falls', 'into'), 6), (('small', 'town'), 6), (('bugs', 'bunny'), 6), (('carson', 'morgan'), 6), (('all', 'over'), 5), (('mother', 'superior'), 5)]"
